Name,Critic_score,Year,Rank
The Dragon Prince,100%,2018,1
Mo,100%,2022,2
Arcane: League of Legends,100%,2021,3
Blood of Zeus,100%,2020,4
Blue Eye Samurai,100%,2023,5
Red Rose,100%,2022,6
Cyberpunk: Edgerunners,100%,2022,7
Katla,100%,2021,8
Derry Girls,99%,2018,9
Better Call Saul,98%,2015,10
Beef,98%,2023,11
Heartstopper,98%,2022,12
Lupin,98%,2021,13
Kingdom,98%,2019,14
Insecure,97%,2016,15
Russian Doll,97%,2019,16
I Think You Should Leave With Tim Robinson,97%,2019,17
Top Boy,97%,2011,18
Hellbound,97%,2021,19
Unbreakable Kimmy Schmidt,96%,2015,20
The Queen's Gambit,96%,2020,21
Unorthodox,96%,2020,22
Scott Pilgrim Takes Off,96%,2023,23
Aggretsuko,96%,2018,24
Our Planet,96%,2019,25
Gentefied,96%,2020,26
Dark,95%,2017,27
Documentary Now!,95%,2015,28
Squid Game,95%,2021,29
Queen Charlotte: A Bridgerton Story,95%,2023,30
Vikings: Valhalla,95%,2022,31
Transatlantic,95%,2023,32
Sex Education,94%,2019,33
Cobra Kai,94%,2018,34
Never Have I Ever,94%,2020,35
Big Mouth,94%,2017,36
Maid,94%,2021,37
Teenage Bounty Hunters,94%,2020,38
Lost Ollie,94%,2022,39
Peaky Blinders,93%,2013,40
Sweet Tooth,93%,2021,41
Cabinet of Curiosities,93%,2022,42
Elite,93%,2018,43
Stranger Things,92%,2016,44
Criminal: UK,92%,2019,45
Jurassic World: Camp Cretaceous,92%,2020,46
Stay Close,92%,2021,47
Tribes of Europa,92%,2021,48
Dragon Age: Absolution,92%,2022,49
You,91%,2018,50
The Last Kingdom,91%,2015,51
Raising Dion,91%,2019,52
The Midnight Gospel,91%,2020,53
The Fall of the House of Usher,90%,2023,54
Grace and Frankie,90%,2016,55
Human Resources,90%,2022,56
The Flash,89%,2014,57
The Sandman,88%,2022,58
Dear White People,88%,2017,59
Dead to Me,88%,2019,60
The Haunting of Bly Manor,88%,2020,61
Delhi Crime,88%,2019,62
All of Us Are Dead,88%,2022,63
Midnight Mass,87%,2021,64
Archive 81,87%,2022,65
The Umbrella Academy,86%,2019,66
The Midnight Club,86%,2022,67
From Scratch,86%,2022,68
"Love, Death + Robots",85%,2019,69
One Piece,85%,2023,70
The Lincoln Lawyer,85%,2022,71
Grey's Anatomy,84%,2005,72
Shadow and Bone,84%,2021,73
Warrior Nun,84%,2020,74
Waco: American Apocalypse,84%,2023,75
Black Mirror,83%,2011,76
The Diplomat,83%,2023,77
School Spirits,83%,2023,78
Hit & Run,83%,2021,79
Ozark,82%,2017,80
Bridgerton,82%,2020,81
Virgin River,82%,2019,82
Murdaugh Murders: A Southern Scandal,82%,2023,83
The Crown,81%,2016,84
Bodies,81%,2023,85
"XO, Kitty",81%,2023,86
The Witcher,80%,2019,87
The Silent Sea,80%,2021,88
Freeridge,80%,2023,89
The Walking Dead,79%,2010,90
Colin in Black and White,79%,2021,91
Inside Job,79%,2021,92
1899,77%,2022,93
That '90s Show,75%,2023,94
Murderville,74%,2022,95
The Night Agent,74%,2023,96
Man vs. Bee,74%,2022,97
Uncoupled,73%,2022,98
Arnold,70%,2023,99
Wednesday,72%,2022,100
